Nation,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Korea,3155,3714,3553,4098,4490,4691,4935,5437,5420,6658,6601,6976
Indonesia,137,108,110,0,0,0,0,534,0,0,0,0
Israel,4351,4650,4770,5017,5192,4699,4923,5060,5314,5202,5758,6823
Japan,5507,5771,6117,6350,6551,6744,6989,7247,7491,7729,8353,8280
Turkey,0,0,0,869,1120,0,1130,0,0,0,1860,2218
Canada,0,0,0,0,0,0,0,7648,8262,8933,9232,0
Mexico,1291,1357,1467,1656,1694,1913,2003,2111,2246,2185,2331,2622
United States,6995,7560,8049,8305,8805,9156,9709,10229,9982,11109,11193,10958
Argentina,1598,1655,1241,0,0,0,0,0,2511,2757,2929,2167
Brazil,832,0,870,870,1159,1425,1566,1862,2155,2405,2778,2673
Chile,1940,0,2110,2211,2139,2120,1936,2088,2268,2707,2981,3301
Austria,6560,6571,7015,7139,7669,8259,8516,8664,9542,10080,10244,10600
Belgium,4310,5321,5665,6180,6636,6648,7072,7363,8528,8341,8852,9281
Checo,1827,1871,2077,2273,2791,2812,3217,3359,3799,4196,4120,4587
Denmark,7074,7572,7727,7814,8081,8513,8798,9176,10080,11166,10935,9434
Estonia,0,0,0,0,2894,3384,3675,4058,5579,5493,5140,5328
Finland,4317,4708,5087,5321,5581,5557,5899,6234,7092,7368,7624,8159
Flance,4486,4777,5033,4939,5082,5365,5482,6044,6267,6373,6622,6917
Germany,4198,4237,4537,4624,4948,5014,5362,5548,5929,6619,0,7579
Greece,3318,3299,3803,4218,4595,5146,0,0,0,0,0,0
Hungary,2245,2592,3016,3286,3841,4438,4599,4656,4495,4467,4684,4566
Island,5854,6373,7171,7752,8434,9254,9299,9629,10599,10099,9482,10339
Iiland,3385,3743,4180,4760,5422,5732,6337,6901,7795,8219,8384,8520
Italy,5973,6783,7231,7366,7390,6835,7716,7383,8671,8669,8296,8448
Luxemberg,0,7873,10611,11481,13458,14079,13676,13985,13648,16494,21240,23871
Netherland,4325,4862,5558,5836,6222,6266,6425,6552,7208,7917,7954,8036
Norway,6550,7404,7508,7977,8533,9001,9486,9922,11077,11833,12255,12459
Poland,2105,2322,2585,2859,3130,3312,3770,4063,4855,5302,5937,6233
Portugal,3672,4181,4940,4503,4681,4871,5138,5011,5234,5762,5922,5865
Slobakia,1308,1252,1471,2020,2073,2806,3221,3499,4137,5099,5732,5517
Spain,3941,4168,4592,4829,4965,5502,5970,6533,7184,7446,7291,7288
Sweden,6336,6295,7143,7291,7469,7532,7699,8338,9080,9382,9987,10295
Swice,6631,6889,7776,8131,8570,8469,8793,9211,9063,10597,11513,12907
England,3877,4415,5150,5851,5941,6361,7732,8222,8758,9088,9369,9857
Augstralia,4967,5052,5169,5494,5776,5992,6311,6498,6723,8328,9463,8671
NewZealand,0,0,4536,4841,5190,4780,4952,4675,5582,6812,6842,8084
