Nation,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Korea,4069,5159,5882,6410,6761,6645,7261,7860,7931,9399,8060,8199
Indonesia,416,322,315,0,0,0,0,482,0,0,0,0
Israel,5518,5617,5767,5959,6066,5495,5858,5741,6429,5842,5616,5712
Japan,6266,6534,6952,7283,7615,7908,8305,8760,9092,9256,9957,9886
Turkey,0,0,0,1428,1808,0,1834,0,0,0,2470,2736
Canada,5947,0,6482,0,7837,7774,8045,8388,8997,0,0,0
Mexico,1615,1915,1768,1918,1922,2180,2165,2236,2333,2536,2632,2943
United States,8855,8779,9098,9590,9938,10390,10821,11301,12097,12550,12464,12731
Argentina,2382,2306,1918,0,0,0,0,0,3531,3932,3930,3034
Brazil,864,0,1121,1121,1033,1186,1538,1750,2058,2235,2571,2662
Chile,2016,0,2085,2324,2225,2077,1924,2090,2222,2564,2892,3110
Austria,8578,8562,8887,8943,9446,9751,10577,10641,11741,12589,12551,13607
Belgium,6889,7912,8272,7708,7751,7731,8601,8992,10511,10775,11004,11732
Checo,3239,3448,3628,4088,4779,4847,5307,5527,6174,6602,6546,7270
Denmark,7726,8113,8003,8183,8849,9407,9662,9675,10720,11036,11747,10937
Estonia,0,0,0,0,3623,3918,4360,4869,6371,6519,6444,6389
Finland,6094,6537,7121,7402,7441,7324,7533,7829,8659,8947,9162,9792
Flance,7636,8107,8472,8653,8737,8927,9303,9532,10231,10696,10877,11109
Germany,6826,6620,7025,7173,7576,7636,7548,7841,8606,9285,0,10275
Greece,3859,3768,4058,4954,5213,8423,0,0,0,0,0,0
Hungary,2446,2633,3184,3948,3692,3806,3978,4225,4658,4514,4553,4574
Island,6518,7265,7229,6898,7721,8411,8493,8349,9007,8644,7841,8470
Iiland,4638,5245,5725,6374,7110,7500,8991,9375,10868,11831,11380,11502
Italy,7218,8258,7568,7938,7843,7648,8495,8004,9315,9112,8607,8585
Luxemberg,0,11091,15195,17078,17876,18845,18144,17928,19898,19324,17633,16182
Netherland,5912,6403,6823,6996,7541,7741,9516,10248,10950,11793,11838,12100
Norway,8476,9040,10154,10919,11109,10995,11435,11997,13070,13883,13852,13939
Poland,0,0,0,2951,2889,3055,3411,3590,4525,5026,5483,5870
Portugal,5349,5976,6921,6094,6168,6473,6846,6833,7357,8709,8882,8676
Slobakia,1927,1874,2193,2401,2744,2716,2963,3219,3956,4658,4806,4938
Spain,5185,5442,6010,6418,6701,7211,7955,8730,9792,10111,9608,9615
Sweden,6339,6482,7400,7662,8039,8198,8496,9143,9940,10050,10185,10938
Swice,9780,10916,11900,12209,12176,12861,13268,13982,17825,15645,14972,15891
England,5991,5933,6505,7290,7090,7167,8763,8892,9487,10013,10452,9649
Augstralia,6894,7239,7375,7788,8160,8408,8700,8840,9052,10137,10350,10354
NewZealand,0,0,5698,5693,6299,6278,6043,5933,6994,7960,8170,9312
