Year Month Day,Currently Index,Contrast,Fluctuation rate (%),Market indices,High index,Low index,Volume (thousand shares) - not including foreign shares,Volume (thousand shares) - including foreign shares,Trading value (W) - Without foreign share,Trading value (W) - With foreign share,IPO market capitalization (W) - Without foreign share,IPO market capitalization (W) - With foreign share
1/25/2016,"1,893.43",14,0.74,"1,890.15","1,901.22","1,882.74","314,039","315,304","4,044,705,357,180","4,049,947,776,030","1,198,440,934,771,290","1,199,185,332,545,260"
1/22/2016,"1,879.43",38.9,2.11,"1,860.30","1,879.43","1,859.54","406,680","408,460","4,391,627,576,930","4,399,145,940,090","1,189,453,712,658,760","1,190,177,921,491,720"
1/21/2016,"1,840.53",-4.92,-0.27,"1,848.10","1,860.02","1,838.04","431,666","433,742","4,784,166,445,952","4,792,984,268,207","1,164,931,662,637,570","1,165,653,993,911,390"
1/20/2016,"1,845.45",-44.19,-2.34,"1,885.36","1,885.36","1,830.06","405,231","407,299","5,330,649,035,354","5,339,553,350,444","1,168,120,812,864,120","1,168,847,405,867,180"
1/19/2016,"1,889.64",11.19,0.6,"1,879.80","1,889.90","1,866.76","332,752","335,321","4,527,345,825,184","4,536,458,921,789","1,196,112,220,310,490","1,196,846,006,146,810"
1/18/2016,"1,878.45",-0.42,-0.02,"1,856.03","1,882.21","1,854.55","275,244","276,937","4,112,771,454,522","4,119,703,541,387","1,187,609,623,543,230","1,188,342,442,684,100"
1/15/2016,"1,878.87",-21.14,-1.11,"1,915.83","1,918.30","1,873.35","309,389","312,360","4,567,146,213,732","4,578,794,363,927","1,187,937,563,554,930","1,188,669,434,610,930"
1/14/2016,"1,900.01",-16.27,-0.85,"1,893.18","1,900.48","1,882.02","308,061","310,979","4,375,981,170,090","4,387,096,198,195","1,201,299,819,226,040","1,202,051,363,306,790"
1/13/2016,"1,916.28",25.42,1.34,"1,904.33","1,921.00","1,902.49","262,465","265,221","3,931,656,576,357","3,943,112,134,592","1,211,799,796,357,780","1,212,573,969,381,420"
1/12/2016,"1,890.86",-3.98,-0.21,"1,907.61","1,910.59","1,888.94","293,372","295,136","3,909,456,819,962","3,917,468,573,787","1,195,827,637,031,540","1,196,604,296,583,530"
1/11/2016,"1,894.84",-22.78,-1.19,"1,897.18","1,907.43","1,892.69","327,402","328,768","4,502,872,496,690","4,509,489,882,320","1,199,166,671,169,930","1,199,940,483,365,560"
1/8/2016,"1,917.62",13.29,0.7,"1,889.42","1,918.25","1,883.82","427,929","430,204","5,193,357,975,544","5,205,453,870,899","1,212,942,823,008,110","1,213,738,732,721,550"
1/7/2016,"1,904.33",-21.1,-1.1,"1,915.71","1,926.41","1,901.24","390,249","393,042","4,987,875,485,722","5,003,024,735,272","1,204,759,293,653,850","1,205,546,061,634,300"
1/6/2016,"1,925.43",-5.1,-0.26,"1,934.25","1,934.25","1,911.61","590,625","594,613","6,256,811,683,569","6,274,716,917,514","1,218,477,996,665,010","1,219,296,930,268,770"
1/5/2016,"1,930.53",11.77,0.61,"1,911.93","1,937.57","1,911.93","444,820","446,549","4,187,903,589,562","4,197,593,667,227","1,221,767,237,600,590","1,222,621,740,423,220"
1/4/2016,"1,918.76",-42.55,-2.17,"1,954.47","1,954.52","1,918.76","357,654","359,018","3,956,951,669,960","3,966,273,691,160","1,214,529,343,643,160","1,215,384,387,196,170"
12/30/2015,"1,961.31",-5,-0.25,"1,973.03","1,974.67","1,958.78","302,623","304,463","3,695,391,486,094","3,706,627,074,039","1,241,949,741,517,490","1,242,832,089,300,650"
12/29/2015,"1,966.31",2.25,0.11,"1,956.49","1,968.57","1,946.21","400,378","401,428","3,791,813,063,037","3,798,204,040,372","1,244,807,678,584,810","1,245,674,313,177,990"
12/28/2015,"1,964.06",-26.59,-1.34,"1,990.59","1,991.19","1,964.06","393,911","396,643","3,826,007,744,838","3,840,599,935,273","1,244,633,345,118,660","1,245,487,965,808,360"
12/24/2015,"1,990.65",-8.57,-0.43,"2,009.34","2,009.99","1,990.65","503,700","504,620","3,611,543,921,218","3,617,394,939,248","1,259,995,567,879,170","1,260,855,413,891,810"
12/23/2015,"1,999.22",6.66,0.33,"1,994.20","2,007.42","1,989.30","501,328","502,367","4,339,401,569,277","4,345,762,972,372","1,265,241,709,689,570","1,266,100,582,803,220"
12/22/2015,"1,992.56",11.37,0.57,"1,984.37","1,992.72","1,971.32","575,603","577,236","4,172,350,696,020","4,181,139,694,830","1,261,027,692,251,720","1,261,894,715,588,790"
12/21/2015,"1,981.19",5.87,0.3,"1,974.26","1,986.66","1,968.14","538,514","539,596","3,588,448,104,284","3,594,694,758,029","1,253,916,144,249,010","1,254,807,195,393,030"
12/18/2015,"1,975.32",-2.64,-0.13,"1,960.32","1,981.42","1,958.12","675,699","677,729","4,204,963,929,793","4,218,016,353,588","1,250,232,513,192,880","1,251,129,345,899,040"
12/17/2015,"1,977.96",8.56,0.43,"1,984.06","1,987.83","1,967.64","376,850","379,574","3,901,540,024,713","3,923,863,924,918","1,252,151,364,969,630","1,253,042,882,401,670"
12/16/2015,"1,969.40",36.43,1.88,"1,950.15","1,975.63","1,950.05","473,443","475,098","4,295,614,484,791","4,306,030,745,676","1,246,613,368,259,680","1,247,470,363,814,190"
12/15/2015,"1,932.97",5.15,0.27,"1,935.82","1,938.04","1,925.75","433,580","434,738","3,636,249,505,210","3,643,731,877,305","1,223,482,233,127,930","1,224,352,613,534,090"
12/14/2015,"1,927.82",-20.8,-1.07,"1,926.36","1,930.40","1,919.22","437,777","439,741","4,259,108,087,763","4,272,255,295,893","1,220,209,776,536,560","1,221,052,367,813,960"
12/11/2015,"1,948.62",-3.45,-0.18,"1,952.82","1,961.00","1,943.67","379,270","380,713","4,117,814,490,325","4,126,570,068,525","1,233,252,204,148,680","1,234,143,721,580,720"
12/10/2015,"1,952.07",3.83,0.2,"1,947.21","1,956.84","1,940.40","375,971","377,849","4,688,430,953,223","4,699,412,561,568","1,235,453,095,568,250","1,236,360,403,734,400"
12/9/2015,"1,948.24",-0.8,-0.04,"1,951.39","1,956.70","1,944.78","370,531","378,095","3,654,066,827,322","3,690,506,105,777","1,233,303,283,221,280","1,234,234,603,685,550"
12/8/2015,"1,949.04",-14.63,-0.75,"1,964.22","1,971.07","1,948.43","404,305","406,176","3,621,519,462,742","3,632,715,184,747","1,233,834,854,125,440","1,234,740,685,883,400"
12/7/2015,"1,963.67",-10.73,-0.54,"1,987.62","1,988.04","1,963.66","380,196","382,133","3,385,958,855,590","3,396,772,891,190","1,244,945,993,539,670","1,245,865,766,388,490"
12/4/2015,"1,974.40",-19.67,-0.99,"1,972.16","1,983.02","1,970.48","376,483","379,466","3,279,794,717,712","3,297,514,568,212","1,252,253,535,361,890","1,253,193,061,881,360"
12/3/2015,"1,994.07",-15.22,-0.76,"2,000.20","2,000.20","1,981.59","363,035","365,870","3,499,854,999,586","3,515,393,235,771","1,264,340,241,225,790","1,265,264,412,281,520"
12/2/2015,"2,009.29",-14.64,-0.72,"2,026.08","2,026.19","2,009.29","626,939","631,315","4,387,695,726,242","4,415,989,870,337","1,274,151,249,236,360","1,275,060,981,895,560"
12/1/2015,"2,023.93",31.96,1.6,"2,001.51","2,026.33","2,001.51","566,264","573,342","4,854,552,726,804","4,902,801,521,694","1,283,617,236,111,510","1,284,539,542,015,160"
11/30/2015,"1,991.97",-37.02,-1.82,"2,022.38","2,022.38","1,987.12","445,170","452,866","6,500,146,711,446","6,538,489,565,126","1,262,598,105,509,880","1,263,656,186,094,130"
11/27/2015,"2,028.99",-1.69,-0.08,"2,038.71","2,038.72","2,026.40","475,218","481,951","3,973,083,334,603","4,005,775,957,648","1,285,960,910,900,930","1,286,995,052,434,740"
11/26/2015,"2,030.68",21.26,1.06,"2,014.88","2,033.18","2,014.88","452,807","454,457","4,419,839,083,915","4,428,687,351,720","1,287,203,817,991,890","1,288,215,418,435,070"
11/25/2015,"2,009.42",-6.87,-0.34,"2,018.24","2,018.93","2,007.91","388,617","391,647","4,241,701,645,012","4,256,142,034,047","1,273,842,141,790,040","1,274,840,957,402,750"
11/24/2015,"2,016.29",12.59,0.63,"2,004.29","2,019.95","2,003.06","413,056","417,005","4,344,054,317,301","4,362,320,576,801","1,278,465,631,292,730","1,279,475,820,345,380"
11/23/2015,"2,003.70",13.84,0.7,"1,995.92","2,008.34","1,992.86","379,448","383,231","4,462,587,089,524","4,481,648,875,024","1,270,510,035,401,830","1,271,487,515,525,190"
11/20/2015,"1,989.86",0.95,0.05,"1,988.96","1,993.97","1,985.93","411,531","413,656","4,020,970,176,796","4,032,700,517,501","1,262,186,207,699,930","1,263,182,529,794,380"
11/19/2015,"1,988.91",26.03,1.33,"1,976.94","1,988.92","1,972.85","419,322","422,517","5,114,609,462,915","5,130,496,905,830","1,262,319,146,913,350","1,263,302,131,398,120"
11/18/2015,"1,962.88",-0.7,-0.04,"1,967.25","1,973.16","1,961.43","537,841","541,860","4,592,447,660,984","4,611,918,225,179","1,244,962,658,972,240","1,245,925,942,874,600"
11/17/2015,"1,963.58",20.56,1.06,"1,967.36","1,974.08","1,959.22","413,355","417,559","4,488,824,685,970","4,510,065,530,020","1,244,983,471,839,550","1,245,962,998,448,350"
11/16/2015,"1,943.02",-30.27,-1.53,"1,945.68","1,956.09","1,942.85","420,803","433,427","5,304,662,416,962","5,358,919,017,447","1,231,773,278,967,370","1,232,730,117,581,300"
11/13/2015,"1,973.29",-20.07,-1.01,"1,975.97","1,981.27","1,969.71","333,938","342,313","4,230,276,961,491","4,261,918,022,931","1,250,472,135,029,550","1,251,364,867,132,570"
11/12/2015,"1,993.36",-3.91,-0.2,"1,997.32","1,998.66","1,991.28","388,987","389,445","3,487,119,127,069","3,492,604,151,269","1,262,904,952,301,900","1,263,875,640,146,870"
11/11/2015,"1,997.27",0.68,0.03,"1,993.81","2,001.73","1,983.14","283,911","286,567","3,859,618,900,348","3,874,411,759,413","1,265,296,500,672,390","1,266,240,860,287,960"
11/10/2015,"1,996.59",-29.11,-1.44,"2,015.45","2,015.45","1,988.54","414,994","417,458","5,718,978,717,316","5,734,869,668,851","1,264,100,555,500,230","1,265,046,203,032,780"
11/9/2015,"2,025.70",-15.37,-0.75,"2,038.59","2,038.59","2,022.52","432,781","435,389","6,043,073,646,667","6,058,317,575,442","1,282,546,483,741,380","1,283,538,895,223,510"
11/6/2015,"2,041.07",-8.34,-0.41,"2,048.17","2,055.14","2,038.46","462,520","465,030","4,573,974,649,137","4,590,162,265,442","1,292,163,640,898,740","1,293,197,658,959,000"
