Year Month Day,Currently Index,Contrast,Fluctuation rate (%),Market indices,High index,Low index,Volume (thousand shares) - not including foreign shares,Volume (thousand shares) - including foreign shares,Trading value (W) - Without foreign share,Trading value (W) - With foreign share,IPO market capitalization (W) - Without foreign share,IPO market capitalization (W) - With foreign share
1/25/2016,1893.43,14,0.74,1890.15,1901.22,1882.74,314039,315304,4.04471E+12,4.04995E+12,1.19844E+15,1.19919E+15
1/22/2016,1879.43,38.9,2.11,1860.3,1879.43,1859.54,406680,408460,4.39163E+12,4.39915E+12,1.18945E+15,1.19018E+15
1/21/2016,1840.53,-4.92,-0.27,1848.1,1860.02,1838.04,431666,433742,4.78417E+12,4.79298E+12,1.16493E+15,1.16565E+15
1/20/2016,1845.45,-44.19,-2.34,1885.36,1885.36,1830.06,405231,407299,5.33065E+12,5.33955E+12,1.16812E+15,1.16885E+15
1/19/2016,1889.64,11.19,0.6,1879.8,1889.9,1866.76,332752,335321,4.52735E+12,4.53646E+12,1.19611E+15,1.19685E+15
1/18/2016,1878.45,-0.42,-0.02,1856.03,1882.21,1854.55,275244,276937,4.11277E+12,4.1197E+12,1.18761E+15,1.18834E+15
1/15/2016,1878.87,-21.14,-1.11,1915.83,1918.3,1873.35,309389,312360,4.56715E+12,4.57879E+12,1.18794E+15,1.18867E+15
1/14/2016,1900.01,-16.27,-0.85,1893.18,1900.48,1882.02,308061,310979,4.37598E+12,4.3871E+12,1.2013E+15,1.20205E+15
1/13/2016,1916.28,25.42,1.34,1904.33,1921,1902.49,262465,265221,3.93166E+12,3.94311E+12,1.2118E+15,1.21257E+15
1/12/2016,1890.86,-3.98,-0.21,1907.61,1910.59,1888.94,293372,295136,3.90946E+12,3.91747E+12,1.19583E+15,1.1966E+15
1/11/2016,1894.84,-22.78,-1.19,1897.18,1907.43,1892.69,327402,328768,4.50287E+12,4.50949E+12,1.19917E+15,1.19994E+15
1/8/2016,1917.62,13.29,0.7,1889.42,1918.25,1883.82,427929,430204,5.19336E+12,5.20545E+12,1.21294E+15,1.21374E+15
1/7/2016,1904.33,-21.1,-1.1,1915.71,1926.41,1901.24,390249,393042,4.98788E+12,5.00302E+12,1.20476E+15,1.20555E+15
1/6/2016,1925.43,-5.1,-0.26,1934.25,1934.25,1911.61,590625,594613,6.25681E+12,6.27472E+12,1.21848E+15,1.2193E+15
1/5/2016,1930.53,11.77,0.61,1911.93,1937.57,1911.93,444820,446549,4.1879E+12,4.19759E+12,1.22177E+15,1.22262E+15
1/4/2016,1918.76,-42.55,-2.17,1954.47,1954.52,1918.76,357654,359018,3.95695E+12,3.96627E+12,1.21453E+15,1.21538E+15
12/30/2015,1961.31,-5,-0.25,1973.03,1974.67,1958.78,302623,304463,3.69539E+12,3.70663E+12,1.24195E+15,1.24283E+15
12/29/2015,1966.31,2.25,0.11,1956.49,1968.57,1946.21,400378,401428,3.79181E+12,3.7982E+12,1.24481E+15,1.24567E+15
12/28/2015,1964.06,-26.59,-1.34,1990.59,1991.19,1964.06,393911,396643,3.82601E+12,3.8406E+12,1.24463E+15,1.24549E+15
12/24/2015,1990.65,-8.57,-0.43,2009.34,2009.99,1990.65,503700,504620,3.61154E+12,3.61739E+12,1.26E+15,1.26086E+15
12/23/2015,1999.22,6.66,0.33,1994.2,2007.42,1989.3,501328,502367,4.3394E+12,4.34576E+12,1.26524E+15,1.2661E+15
12/22/2015,1992.56,11.37,0.57,1984.37,1992.72,1971.32,575603,577236,4.17235E+12,4.18114E+12,1.26103E+15,1.26189E+15
12/21/2015,1981.19,5.87,0.3,1974.26,1986.66,1968.14,538514,539596,3.58845E+12,3.59469E+12,1.25392E+15,1.25481E+15
12/18/2015,1975.32,-2.64,-0.13,1960.32,1981.42,1958.12,675699,677729,4.20496E+12,4.21802E+12,1.25023E+15,1.25113E+15
12/17/2015,1977.96,8.56,0.43,1984.06,1987.83,1967.64,376850,379574,3.90154E+12,3.92386E+12,1.25215E+15,1.25304E+15
12/16/2015,1969.4,36.43,1.88,1950.15,1975.63,1950.05,473443,475098,4.29561E+12,4.30603E+12,1.24661E+15,1.24747E+15
12/15/2015,1932.97,5.15,0.27,1935.82,1938.04,1925.75,433580,434738,3.63625E+12,3.64373E+12,1.22348E+15,1.22435E+15
12/14/2015,1927.82,-20.8,-1.07,1926.36,1930.4,1919.22,437777,439741,4.25911E+12,4.27226E+12,1.22021E+15,1.22105E+15
12/11/2015,1948.62,-3.45,-0.18,1952.82,1961,1943.67,379270,380713,4.11781E+12,4.12657E+12,1.23325E+15,1.23414E+15
12/10/2015,1952.07,3.83,0.2,1947.21,1956.84,1940.4,375971,377849,4.68843E+12,4.69941E+12,1.23545E+15,1.23636E+15
12/9/2015,1948.24,-0.8,-0.04,1951.39,1956.7,1944.78,370531,378095,3.65407E+12,3.69051E+12,1.2333E+15,1.23423E+15
12/8/2015,1949.04,-14.63,-0.75,1964.22,1971.07,1948.43,404305,406176,3.62152E+12,3.63272E+12,1.23383E+15,1.23474E+15
12/7/2015,1963.67,-10.73,-0.54,1987.62,1988.04,1963.66,380196,382133,3.38596E+12,3.39677E+12,1.24495E+15,1.24587E+15
12/4/2015,1974.4,-19.67,-0.99,1972.16,1983.02,1970.48,376483,379466,3.27979E+12,3.29751E+12,1.25225E+15,1.25319E+15
12/3/2015,1994.07,-15.22,-0.76,2000.2,2000.2,1981.59,363035,365870,3.49985E+12,3.51539E+12,1.26434E+15,1.26526E+15
12/2/2015,2009.29,-14.64,-0.72,2026.08,2026.19,2009.29,626939,631315,4.3877E+12,4.41599E+12,1.27415E+15,1.27506E+15
12/1/2015,2023.93,31.96,1.6,2001.51,2026.33,2001.51,566264,573342,4.85455E+12,4.9028E+12,1.28362E+15,1.28454E+15
11/30/2015,1991.97,-37.02,-1.82,2022.38,2022.38,1987.12,445170,452866,6.50015E+12,6.53849E+12,1.2626E+15,1.26366E+15
11/27/2015,2028.99,-1.69,-0.08,2038.71,2038.72,2026.4,475218,481951,3.97308E+12,4.00578E+12,1.28596E+15,1.287E+15
11/26/2015,2030.68,21.26,1.06,2014.88,2033.18,2014.88,452807,454457,4.41984E+12,4.42869E+12,1.2872E+15,1.28822E+15
11/25/2015,2009.42,-6.87,-0.34,2018.24,2018.93,2007.91,388617,391647,4.2417E+12,4.25614E+12,1.27384E+15,1.27484E+15
11/24/2015,2016.29,12.59,0.63,2004.29,2019.95,2003.06,413056,417005,4.34405E+12,4.36232E+12,1.27847E+15,1.27948E+15
11/23/2015,2003.7,13.84,0.7,1995.92,2008.34,1992.86,379448,383231,4.46259E+12,4.48165E+12,1.27051E+15,1.27149E+15
11/20/2015,1989.86,0.95,0.05,1988.96,1993.97,1985.93,411531,413656,4.02097E+12,4.0327E+12,1.26219E+15,1.26318E+15
11/19/2015,1988.91,26.03,1.33,1976.94,1988.92,1972.85,419322,422517,5.11461E+12,5.1305E+12,1.26232E+15,1.2633E+15
11/18/2015,1962.88,-0.7,-0.04,1967.25,1973.16,1961.43,537841,541860,4.59245E+12,4.61192E+12,1.24496E+15,1.24593E+15
11/17/2015,1963.58,20.56,1.06,1967.36,1974.08,1959.22,413355,417559,4.48882E+12,4.51007E+12,1.24498E+15,1.24596E+15
11/16/2015,1943.02,-30.27,-1.53,1945.68,1956.09,1942.85,420803,433427,5.30466E+12,5.35892E+12,1.23177E+15,1.23273E+15
11/13/2015,1973.29,-20.07,-1.01,1975.97,1981.27,1969.71,333938,342313,4.23028E+12,4.26192E+12,1.25047E+15,1.25136E+15
11/12/2015,1993.36,-3.91,-0.2,1997.32,1998.66,1991.28,388987,389445,3.48712E+12,3.4926E+12,1.2629E+15,1.26388E+15
11/11/2015,1997.27,0.68,0.03,1993.81,2001.73,1983.14,283911,286567,3.85962E+12,3.87441E+12,1.2653E+15,1.26624E+15
11/10/2015,1996.59,-29.11,-1.44,2015.45,2015.45,1988.54,414994,417458,5.71898E+12,5.73487E+12,1.2641E+15,1.26505E+15
11/9/2015,2025.7,-15.37,-0.75,2038.59,2038.59,2022.52,432781,435389,6.04307E+12,6.05832E+12,1.28255E+15,1.28354E+15
11/6/2015,2041.07,-8.34,-0.41,2048.17,2055.14,2038.46,462520,465030,4.57397E+12,4.59016E+12,1.29216E+15,1.2932E+15
11/5/2015,2049.41,-3.36,-0.16,2049.3,2050.44,2039.93,341391,349079,3.98497E+12,4.02459E+12,1.29587E+15,1.29694E+15
11/4/2015,2052.77,4.37,0.21,2053.51,2056.12,2042.38,535044,545086,4.93076E+12,4.95316E+12,1.29803E+15,1.29909E+15
11/3/2015,2048.4,13.16,0.65,2042.6,2053.24,2040.75,584788,591737,5.77739E+12,5.79718E+12,1.29544E+15,1.29649E+15
11/2/2015,2035.24,5.77,0.28,2033.15,2036.05,2028.2,356651,366382,4.73726E+12,4.77155E+12,1.28783E+15,1.28891E+15
10/30/2015,2029.47,-4.69,-0.23,2034.78,2038.56,2027.8,371857,380671,6.15651E+12,6.18796E+12,1.28385E+15,1.28493E+15
10/29/2015,2034.16,-8.35,-0.41,2050.97,2064.72,2032.56,474871,481349,6.23373E+12,6.26145E+12,1.28311E+15,1.28419E+15
10/28/2015,2042.51,-2.14,-0.1,2045.67,2045.67,2032.39,394167,402201,5.05014E+12,5.09446E+12,1.28689E+15,1.28801E+15
10/27/2015,2044.65,-3.43,-0.17,2043.52,2045.81,2036.22,442806,449155,4.06439E+12,4.09591E+12,1.28774E+15,1.28886E+15
10/26/2015,2048.08,7.68,0.38,2049.41,2049.6,2039.97,454613,459950,4.31513E+12,4.34333E+12,1.28998E+15,1.29111E+15
10/23/2015,2040.4,17.4,0.86,2043.67,2054.82,2036.92,638875,648999,5.32955E+12,5.3848E+12,1.28516E+15,1.28629E+15
10/22/2015,2023,-19.98,-0.98,2040.43,2042.57,2019.53,680382,695814,5.8701E+12,5.95199E+12,1.27433E+15,1.27546E+15
10/21/2015,2042.98,3.62,0.18,2039.25,2053.95,2035.59,661323,668945,5.39096E+12,5.43863E+12,1.28651E+15,1.28768E+15
10/20/2015,2039.36,9.09,0.45,2031.5,2040.24,2026.67,944545,958060,4.70961E+12,4.78776E+12,1.27954E+15,1.28075E+15
10/19/2015,2030.27,0.01,0,2032.36,2036.3,2022.25,712407,726843,4.19223E+12,4.28344E+12,1.27395E+15,1.27517E+15
10/16/2015,2030.26,-3.01,-0.15,2037.98,2038.06,2025.19,531385,550798,5.21873E+12,5.35055E+12,1.27386E+15,1.27514E+15
10/15/2015,2033.27,23.72,1.18,2008.29,2035.8,2007.46,470274,498901,4.46217E+12,4.65528E+12,1.276E+15,1.27736E+15
10/14/2015,2009.55,-9.5,-0.47,2014.47,2016.14,2002.63,606327,644803,4.7501E+12,5.0316E+12,1.26113E+15,1.2625E+15
10/13/2015,2019.05,-2.58,-0.13,2021.2,2024.5,2010.16,581858,604996,5.06646E+12,5.19398E+12,1.26653E+15,1.26776E+15
10/12/2015,2021.63,2.1,0.1,2022.33,2030.92,2015.43,622441,635085,6.14812E+12,6.21931E+12,1.26814E+15,1.26923E+15
10/8/2015,2019.53,13.69,0.68,2016.36,2020.19,1998.66,692648,700993,6.21712E+12,6.25981E+12,1.26711E+15,1.26811E+15
10/7/2015,2005.84,15.19,0.76,1995.87,2006.24,1994.55,757518,761720,6.16861E+12,6.19545E+12,1.259E+15,1.25999E+15
10/6/2015,1990.65,12.4,0.63,1996.29,1998.02,1985.17,659685,661636,5.6173E+12,5.63345E+12,1.24823E+15,1.24918E+15
10/5/2015,1978.25,8.57,0.44,1981.6,1994.65,1975.55,543672,545634,4.63847E+12,4.65112E+12,1.24026E+15,1.24124E+15
10/2/2015,1969.68,-9.64,-0.49,1979.41,1985.57,1969.68,1029074,1030977,5.26581E+12,5.27711E+12,1.23526E+15,1.23624E+15
10/1/2015,1979.32,16.51,0.84,1963.55,1986.01,1958.63,675342,678978,5.21369E+12,5.22986E+12,1.2397E+15,1.24067E+15
9/30/2015,1962.81,19.96,1.03,1915.46,1962.84,1915.04,541063,546992,5.63032E+12,5.65556E+12,1.22961E+15,1.23058E+15
